event_id,event_date,event_date_precision,state,district,location,latitude,longitude,event_type,severity,source,source_url,source_tier,confidence,coordinate_status,verification_status
NER_EV_014,2022-05-16,Exact Day,Assam,Dima Hasao,Mahur - Jatinga Slope Collapse,25.1214,93.112,LANDSLIDE,HIGH,ASDMA Dima Hasao Emergency Bulletin,https://sdma.assam.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_015,2020-06-02,Exact Day,Assam,Cachar,Barak Valley Joypur Slope Failure,24.8333,92.7778,MUDSLIDE,HIGH,Assam ASDMA Monsoon Incident Report,https://sdma.assam.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_016,2020-06-02,Exact Day,Assam,Hailakandi,Lala Slope Collapse Zone,24.5512,92.6512,SLOPE FAILURE,HIGH,Assam ASDMA Report,https://sdma.assam.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_017,2020-06-02,Exact Day,Assam,Karimganj,Badarpur Hill Cut Failure,24.8712,92.5812,LANDSLIDE,HIGH,Assam ASDMA Report,https://sdma.assam.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_018,2024-06-18,Exact Day,Assam,Kamrup Metropolitan,Guwahati City Hills (Kahilipara / Kalapahar Slopes),26.1412,91.7612,EARTH SLIDE,MODERATE,ASDMA Guwahati Urban Slope Audit,https://sdma.assam.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_019,2022-06-30,Exact Day,Manipur,Noney,Tupul Railway Construction Yard,24.8152,93.6421,SLOPE FAILURE,CRITICAL,Geological Survey of India (GSI) Landslide Inventory,https://gsi.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_020,2024-05-29,Exact Day,Manipur,Senapati,Mao - Maram National Highway (NH-02),25.5012,94.1214,LANDSLIDE,HIGH,Manipur Relief & Disaster Management Department,https://manipur.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_021,2021-07-28,Exact Day,Manipur,Tamenglong,Imphal - Jiribam NH-37 Corridor,24.9812,93.5312,DEBRIS SLIDE,HIGH,GSI North East Landslide Mapping,https://gsi.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_022,2018-06-05,Exact Day,Manipur,Chandel,Tengnoupal Road Slope Failure,24.3312,94.1512,MUDSLIDE,MODERATE,NASA Global Landslide Catalog (GLC),https://data.nasa.gov,Tier 2,MEDIUM,VALID,PARTIALLY_VERIFIED
NER_EV_023,2024-05-28,Exact Day,Mizoram,Aizawl,Melthum Stone Quarry Collapse (Cyclone Remal),23.6921,92.7185,SLOPE FAILURE,CRITICAL,Mizoram Disaster Management & Rehabilitation Dept,https://dmr.mizoram.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_024,2024-05-28,Exact Day,Mizoram,Aizawl,Hlimen Slope & Housing Failure,23.6812,92.7312,LANDSLIDE,CRITICAL,Mizoram DMRD Official Report,https://dmr.mizoram.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_025,2023-08-23,Exact Day,Mizoram,Sairang,Railway Bridge Construction Hill Slope Failure,23.8012,92.6612,ROCKFALL,CRITICAL,NDMA Disaster Bulletin & Mizoram DMRD,https://ndma.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_026,2022-07-02,Exact Day,Mizoram,Lunglei,Hnahthial Highway Segment,22.9612,92.9314,DEBRIS FLOW,MODERATE,GSI Landslide Inventory,https://gsi.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_027,2019-07-15,Exact Day,Mizoram,Champhai,Zokhawthar Border Slope Cut,23.3612,93.3312,EARTH SLIDE,MODERATE,Mizoram DMRD Annual Bulletin,https://dmr.mizoram.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_028,2023-07-12,Exact Day,Nagaland,Chümoukedima,Kohima - Dimapur National Highway (NH-29),25.7924,93.7712,ROCKFALL,CRITICAL,Nagaland State Disaster Management Authority (NSDMA),https://nsdma.nagaland.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_029,2024-09-03,Exact Day,Nagaland,Chümoukedima,Paglapahar NH-29 Landslide Corridor,25.8112,93.7912,LANDSLIDE,HIGH,Nagaland NSDMA Monsoon Bulletin,https://nsdma.nagaland.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_030,2022-07-20,Exact Day,Nagaland,Kohima,Phesama Slope Subsidence Zone,25.6312,94.112,SLOPE FAILURE,HIGH,GSI Nagaland NLSM Report,https://gsi.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_031,2018-07-26,Exact Day,Nagaland,Tuensang,Mokokchung - Tuensang Road Slopes,26.2812,94.8212,DEBRIS SLIDE,MODERATE,NSDMA Disaster Incident Log,https://nsdma.nagaland.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_032,2024-06-25,Exact Day,Arunachal Pradesh,Papum Pare,Itanagar - Naharlagun Highway Cut,27.1012,93.6214,LANDSLIDE,HIGH,Arunachal Pradesh State Disaster Management Authority,https://arunachalpradesh.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_033,2023-06-20,Exact Day,Arunachal Pradesh,West Kameng,Bhalukpong - Tawang Highway Segment,27.0125,92.641,ROCKSLIDE,HIGH,Border Roads Organisation (BRO) & Arunachal SDMA,https://arunachalpradesh.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_034,2022-05-19,Exact Day,Arunachal Pradesh,Lower Subansiri,Ziro Valley Access Road,27.5512,93.8312,MUDSLIDE,MODERATE,GSI Arunachal Pradesh Inventory,https://gsi.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_035,2020-07-10,Exact Day,Arunachal Pradesh,East Siang,Pasighat - Pangin Road Cut,28.0612,95.3312,DEBRIS FLOW,HIGH,Arunachal SDMA Bulletin,https://arunachalpradesh.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_036,2019-04-26,Exact Day,Arunachal Pradesh,Tawang,Tawang Town Perimeter Slopes,27.5812,91.8612,ROCKFALL,MODERATE,BRO & NASA GLC Catalog,https://data.nasa.gov,Tier 2,MEDIUM,VALID,PARTIALLY_VERIFIED
NER_EV_037,2024-08-20,Exact Day,Tripura,South Tripura,Santirbazar & Belonia Slopes,23.1512,91.5612,LANDSLIDE,HIGH,Tripura State Disaster Management Authority (TDMA),https://tdma.tripura.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_038,2018-06-13,Exact Day,Tripura,Unakoti,Deomura Hill Slopes,24.2312,92.0154,MUDSLIDE,MODERATE,Tripura TDMA Incident Report,https://tdma.tripura.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_039,2024-07-07,Exact Day,West Bengal (Eastern Himalayas),Kalimpong,Teesta Bazar NH-10 Highway Subsidence,27.0512,88.4312,SLOPE FAILURE,CRITICAL,GSI Eastern Region Special Bulletin & West Bengal SDMA,https://gsi.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_040,2023-10-05,Exact Day,West Bengal (Eastern Himalayas),Darjeeling,Mirik Slopes & Tindharia Segment,26.8912,88.1812,DEBRIS FLOW,HIGH,GSI Landslide Mapping Report,https://gsi.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_041,2021-09-08,Exact Day,West Bengal (Eastern Himalayas),Darjeeling,Paglajhora - Kurseong Road Corridor,26.9812,88.2634,ROCKSLIDE,HIGH,GSI Eastern Region Landslide Inventory,https://gsi.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_042,2020-07-08,Exact Day,West Bengal (Eastern Himalayas),Kalimpong,Gorubathan Hill Cut Failure,26.9612,88.7012,LANDSLIDE,MODERATE,West Bengal SDMA Incident Log,https://wbdmd.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_043,2024-07-30,Exact Day,Kerala / Benchmark Reference,Wayanad,Chooralmala - Mundakkai Valley Failure,11.5321,76.1345,DEBRIS FLOW,CRITICAL,National Disaster Management Authority (NDMA) & KSDMA,https://ndma.gov.in,Tier 1,HIGH,INVALID,VERIFIED
NER_EV_044,2022-07-00,Month-Year,Meghalaya,South Garo Hills,Baghmara Slope Zone,25.1912,90.6312,SLOPE FAILURE,MODERATE,NASA Global Landslide Catalog (GLC),https://data.nasa.gov,Tier 2,MEDIUM,VALID,PARTIALLY_VERIFIED
NER_EV_045,2020-07-00,Month-Year,Arunachal Pradesh,Papum Pare,Itanagar Capital Complex Slopes,27.1012,93.6214,LANDSLIDE,MODERATE,Peer-Reviewed Springer Himalayan Landslide Study,https://link.springer.com,Tier 2,MEDIUM,VALID,PARTIALLY_VERIFIED
NER_EV_046,2019-06-00,Month-Year,Mizoram,Lunglei,Hnahthial Highway Corridor,22.9612,92.9314,DEBRIS FLOW,MODERATE,NASA Global Landslide Catalog (GLC),https://data.nasa.gov,Tier 2,MEDIUM,VALID,PARTIALLY_VERIFIED
NER_EV_047,2018-07-00,Month-Year,Assam,Karbi Anglong,Hamren Hill Cut Zone,25.8612,92.5112,MUDSLIDE,MODERATE,Peer-Reviewed Himalayan Study,https://sciencedirect.com,Tier 2,MEDIUM,VALID,PARTIALLY_VERIFIED
NER_EV_048,2021-06-00,Month-Year,Nagaland,Phek,Pfütsero Highway Segment,25.5612,94.2312,DEBRIS SLIDE,MODERATE,NASA Global Landslide Catalog (GLC),https://data.nasa.gov,Tier 2,MEDIUM,VALID,PARTIALLY_VERIFIED
NER_EV_049,2023-08-00,Month-Year,Sikkim,Soreng,Reshi Slope Failure Zone,27.1812,88.2214,ROCKFALL,MODERATE,Academic Himalayan Journal Study,https://researchgate.net,Tier 2,MEDIUM,VALID,PARTIALLY_VERIFIED
NER_EV_050,2024-07-00,Month-Year,Manipur,Ukhrul,Shirui Hill Slopes,25.1212,94.4512,LANDSLIDE,MODERATE,NASA Global Landslide Catalog (GLC),https://data.nasa.gov,Tier 2,MEDIUM,VALID,PARTIALLY_VERIFIED
